tourist_name,destination,budget,rating,preferred_activity
Robert Morrison,Gloria de Dapitan,19955,4.2,Camping
Devon Williams,Dakak Beach Resort,3800,1.3,Photography
Carla Jenkins,Ilihan Hill,16080,3.1,Nature Exploration
Frank Berry,Rizal Shrine,4715,2.8,Historical Tour
Amanda Figueroa,Dakak Beach Resort,19344,2.6,Nature Exploration
Crystal Martin,Dipolog Boulevard,10231,4.4,Hiking
Allison Ramos,Rizal Shrine,15716,4.9,Hiking
Jennifer Gregory,Sergio Osmeña Falls,13741,1.1,Historical Tour
Teresa Jones,Ilihan Hill,15793,2.4,Food Trip
Rebecca Davis,Gloria de Dapitan,19376,1.5,Camping
Matthew Myers,Rizal Shrine,17511,2.3,Camping
Jessica Melton,Sergio Osmeña Falls,12556,2.7,Camping
Megan Sanchez,Dakak Beach Resort,5220,4.9,Historical Tour
Thomas Owen,Mahayag Cave,15036,4.4,Sightseeing
Charles Bolton,Fantasyland,4482,4.2,Swimming
Alison Cole,Sergio Osmeña Falls,16995,4.8,Photography
Peggy Romero,Fantasyland,8383,3.2,Photography
Troy Valdez,Mahayag Cave,16968,1.4,Swimming
Peter Silva,Rizal Shrine,16157,2.0,Nature Exploration
Gail Jones,Dipolog Boulevard,15079,1.3,Photography
Susan Allen,Dakak Beach Resort,14549,2.1,Swimming
Mason Massey,Aliguay Island,7376,1.1,Historical Tour
David Smith,Rizal Shrine,15268,3.5,Camping
Sarah Montgomery,Sergio Osmeña Falls,2749,1.6,Food Trip
Allen Hansen,Ilihan Hill,18197,3.3,Nature Exploration
Peter Arnold,Dakak Beach Resort,2055,1.8,Photography
Patrick Tran,Sergio Osmeña Falls,1840,1.4,Photography
Sharon Wilcox,Aliguay Island,7817,2.1,Snorkeling
Emily Stevens,Sergio Osmeña Falls,15897,4.6,Sightseeing
Marissa Ramirez,Dipolog Boulevard,17943,3.7,Historical Tour
Alexandria Torres,Mahayag Cave,15184,2.6,Hiking
Shirley Sims,Ilihan Hill,17995,3.0,Food Trip
Donna Murphy,Fantasyland,1002,3.0,Swimming
Dustin Phillips,Dakak Beach Resort,14828,4.2,Historical Tour
Joshua Lang,Sergio Osmeña Falls,4050,1.1,Photography
Thomas Stephens,Dipolog Boulevard,2334,1.1,Historical Tour
Levi Spears DDS,Sergio Osmeña Falls,12216,2.7,Historical Tour
Gary Ayala,Fantasyland,5490,4.0,Historical Tour
Kayla Flynn,Gloria de Dapitan,11172,1.3,Historical Tour
Shelby Melton,Dakak Beach Resort,6629,2.9,Food Trip
Joyce Perkins,Dakak Beach Resort,11937,4.8,Historical Tour
Sandra Henson,Gloria de Dapitan,3856,4.0,Sightseeing
Samantha Sexton,Mahayag Cave,9996,2.1,Food Trip
Catherine Bryant,Gloria de Dapitan,10355,1.7,Food Trip
Amy Contreras,Ilihan Hill,13243,2.5,Camping
Melissa Delgado,Dipolog Boulevard,8837,3.6,Snorkeling
Devin Jones,Dipolog Boulevard,17745,3.8,Historical Tour
Sabrina Knight,Mahayag Cave,13283,3.5,Historical Tour
Timothy Wells,Dakak Beach Resort,4537,2.4,Swimming
Mario Garcia,Mahayag Cave,16651,3.2,Snorkeling
